Manufacturer,Series,Part_Number,Inductance_uH,DCR_typ_mOhm,DCR_max_mOhm,Isat_10pct_A,Isat_20pct_A,Isat_30pct_A,Itemp_40K,Length_max_mm,Width_max_mm,Height_max_mm,Size_Code,Volume
TDK,SPM12565VT,SPM12565VT-1R5M-D,1.5,2.8,3.08,,32.8,44.2,22.3,13.4,12.9,6.5,1307,1123.590
TDK,SPM12565VT,SPM12565VT-2R2M-D,2.2,3.4,3.74,,32.8,44.5,20.2,13.4,12.9,6.5,1307,1123.590
TDK,SPM12565VT,SPM12565VT-3R3M-D,3.3,4.9,5.39,,25.5,34.6,16.8,13.4,12.9,6.5,1307,1123.590
TDK,SPM12565VT,SPM12565VT-4R7M-D,4.7,7.1,7.81,,22.2,30.1,14,13.4,12.9,6.5,1307,1123.590
TDK,SPM12565VT,SPM12565VT-6R8M-D,6.8,10.3,11.33,,20.9,28.5,11.6,13.4,12.9,6.5,1307,1123.590
TDK,SPM12565VT,SPM12565VT-100M-D,10,17,18.7,,16.7,22.7,9,13.4,12.9,6.5,1307,1123.590
TDK,SPM12565VT,SPM12565VT-150M-D,15,20.9,22.99,,10.6,14.2,8.5,13.4,12.9,6.5,1307,1123.590
TDK,SPM12565VT,SPM12565VT-220M-D,22,31,34.1,,10.4,14.1,6.9,13.4,12.9,6.5,1307,1123.590
TDK,SPM12565VT,SPM12565VT-1R0M-D,1,2.2,2.42,,41.4,55.7,25,12.5,13,6.5,1307,1056.250
Wurth Elektronik,HCF,7443642010100,1,,0.92,49,,56,,19.8,19.1,10,2010,3781.800
Wurth Elektronik,HCF,7443642010120,1.2,,0.92,42.5,,47,,19.8,19.1,10,2010,3781.800
Wurth Elektronik,HCF,7443642010200,2,,0.92,25.5,,30,,19.8,19.1,10,2010,3781.800
Wurth Elektronik,HCF,7443630070,0.7,,0.91,63,,75,,20.8,20.5,13.5,2013,5756.400
Wurth Elektronik,HCF,7443630140,1.4,,1.19,55,,60,,20.8,20.5,13.5,2013,5756.400
Wurth Elektronik,HCF,7443630220,2.2,,1.65,47,,52,,20.8,20.5,13.5,2013,5756.400
Wurth Elektronik,HCF,7443630310,3.1,,2.3,41,,45,,20.8,20.5,13.5,2013,5756.400
Wurth Elektronik,HCF,7443630420,4.2,,3.34,34,,38,,20.8,20.5,13.5,2013,5756.400
Wurth Elektronik,HCF,7443630550,5.5,,4.4,30,,33,,20.8,20.5,13.5,2013,5756.400
Wurth Elektronik,HCF,7443630700,7,,6.17,27,,30,,20.8,20.5,13.5,2013,5756.400
Wurth Elektronik,HCF,7443630860,8.6,,7.91,23.5,,25,,20.8,20.5,13.5,2013,5756.400
Wurth Elektronik,HCF,7443631000,10,,8.76,22,,23,,20.8,20.5,13.5,2013,5756.400
Wurth Elektronik,HCF,7443631500,15,,9.57,19,,21,,20.8,20.5,13.5,2013,5756.400
Wurth Elektronik,HCF,7443632200,22,,11.72,13,,15,,20.8,20.5,13.5,2013,5756.400
Wurth Elektronik,HCF,7443633300,33,,12.54,9.5,,11,,20.8,20.5,13.5,2013,5756.400
Wurth Elektronik,HCF,7443634700,47,,13.42,7.5,,8.5,,20.8,20.5,13.5,2013,5756.400
Wurth Elektronik,HCF,74436410150,1.5,,1.44,110,,125,,27,28,15.4,2815,11642.400
Wurth Elektronik,HCF,74436410220,2.2,,1.44,85,,88.5,,27,28,15.4,2815,11642.400
Wurth Elektronik,HCF,74436410330,3.3,,1.44,57,,60.5,,27,28,15.4,2815,11642.400
Wurth Elektronik,HCF,74436410470,4.7,,1.44,44,,48,,27,28,15.4,2815,11642.400
Wurth Elektronik,HCF,74436410680,6.8,,1.44,30,,33,,27,28,15.4,2815,11642.400
Wurth Elektronik,HCF,74436411000,10,,1.44,20,,21.5,,27,28,15.4,2815,11642.400
Wurth Elektronik,HCF,74436411500,15,,1.44,13,,14.3,,27,28,15.4,2815,11642.400
Wurth Elektronik,HCF,74436412200,22,,1.44,7.5,,9.5,,27,28,15.4,2815,11642.400
Wurth Elektronik,HCF,74436413300,33,,1.44,4.5,,6,,27,28,15.4,2815,11642.400
Wurth Elektronik,HCF,7443640100B,1,,0.48,122,,125,,27,28,18.5,2818,13986.000
Wurth Elektronik,HCF,7443640150B,1.5,,0.48,85,,91.8,,27,28,18.5,2818,13986.000
Wurth Elektronik,HCF,7443640330B,3.3,,0.97,61.35,,70,,27,28,18.5,2818,13986.000
Wurth Elektronik,HCF,7443640470B,4.7,,0.97,43.85,,49.5,,27,28,18.5,2818,13986.000
Wurth Elektronik,HCF,7443640680B,6.8,,0.97,31.9,,36.3,,27,28,18.5,2818,13986.000
Wurth Elektronik,HCF,7443641000B,10,,0.97,22.9,,25.1,,27,28,18.5,2818,13986.000
Wurth Elektronik,HCF,7443640330,3.3,,2.64,89.8,,100,,27,28,18.5,2818,13986.000
Wurth Elektronik,HCF,7443640470,4.7,,2.64,70,,78,,27,28,18.5,2818,13986.000
Wurth Elektronik,HCF,7443640680,6.8,,2.64,49.8,,55,,27,28,18.5,2818,13986.000
Wurth Elektronik,HCF,7443641000,10,,2.64,32.6,,37,,27,28,18.5,2818,13986.000
Wurth Elektronik,HCF,7443641500,15,,2.64,22,,26,,27,28,18.5,2818,13986.000
Wurth Elektronik,HCF,7443642200,22,,2.64,15.5,,18,,27,28,18.5,2818,13986.000
Wurth Elektronik,HCF,7443643300,33,,2.64,10.5,,11.5,,27,28,18.5,2818,13986.000
Wurth Elektronik,HCF,74437429203330,33,,16.83,7,,16.3,,25,28,20.5,2920 litz wire,14350.000
Wurth Elektronik,HCF,74437429203470,47,,21.23,7.6,,13.5,,25,28,20.5,2920 litz wire,14350.000
Wurth Elektronik,HCF,74437429203680,68,,24.42,6.4,,10.7,,25,28,20.5,2920 litz wire,14350.000
Wurth Elektronik,HCF,74437429203101,100,,39.49,7.5,,9.7,,25,28,20.5,2920 litz wire,14350.000
Wurth Elektronik,HCF,74437429203151,150,,42.74,6,,7.8,,25,28,20.5,2920 litz wire,14350.000
Wurth Elektronik,HCF,74437529203220,22,,5.39,7.5,,21.7,,25,28,20.5,2920 round wire,14350.000
Wurth Elektronik,HCF,74437529203330,33,,7.59,6,,15.4,,25,28,20.5,2920 round wire,14350.000
Wurth Elektronik,HCF,74437529203470,47,,9.68,6.5,,13,,25,28,20.5,2920 round wire,14350.000
Wurth Elektronik,HCF,74437529203680,68,,11.33,7.2,,10.6,,25,28,20.5,2920 round wire,14350.000
Wurth Elektronik,HCF,74437529203101,100,,25.19,7,,9.4,,25,28,20.5,2920 round wire,14350.000
Wurth Elektronik,HCF,74437529203151,150,,33.66,5.8,,7.2,,25,28,20.5,2920 round wire,14350.000
Wurth Elektronik,HCF,74437529203221,220,,40.1,4.1,,5.3,,25,28,20.5,2920 round wire,14350.000
Wurth Elektronik,HCF,74437529203331,330,,77.5,4,,4.3,,25,28,20.5,2920 round wire,14350.000
Wurth Elektronik,HCF,74437529203471,470,,91.8,3.2,,3.7,,25,28,20.5,2920 round wire,14350.000
