Part_Number,Manufacturer,Series,Size_Code,Inductance_uH,Op_Point,Vin_V,Iin_A,Pin_W,Vout_V,Mode,Freq_kHz,Duty_pct,I_avg_A,dI_pp_A,I_peak_A,Isat_A,P_ac_mW,P_dc_mW,P_total_mW,dT_K,Source,Date,Notes
7443630070,Wurth Elektronik,HCF,2013,0.7,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,41.667,23.833,63.0,,,,,,,
7443630140,Wurth Elektronik,HCF,2013,1.4,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,20.833,13.417,55.0,,,,,,,
7443630220,Wurth Elektronik,HCF,2013,2.2,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,13.258,9.629,47.0,,,,,,,
7443630310,Wurth Elektronik,HCF,2013,3.1,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,9.409,7.704,41.0,,,,,,,
7443630420,Wurth Elektronik,HCF,2013,4.2,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,6.944,6.472,34.0,,,,,,,
7443630550,Wurth Elektronik,HCF,2013,5.5,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,5.303,5.652,30.0,,,,,,,
7443630700,Wurth Elektronik,HCF,2013,7.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,4.167,5.083,27.0,,,,,,,
7443630860,Wurth Elektronik,HCF,2013,8.6,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,3.391,4.696,23.5,,,,,,,
7443631000,Wurth Elektronik,HCF,2013,10.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,2.917,4.458,22.0,,,,,,,
7443631500,Wurth Elektronik,HCF,2013,15.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,1.944,3.972,19.0,,,,,,,
7443632200,Wurth Elektronik,HCF,2013,22.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,1.326,3.663,13.0,1270,95.8,2770,33.6,https://redexpert.we-online.com/we-redexpert/en/#/redexpert-embedded,2026-09-13,
7443633300,Wurth Elektronik,HCF,2013,33.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,0.884,3.442,9.5,1930,103,2040,50.5,https://redexpert.we-online.com/we-redexpert/en/#/redexpert-embedded,2026-09-13,
7443634700,Wurth Elektronik,HCF,2013,47.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,0.621,3.31,7.5,741,110,851,21.2,https://redexpert.we-online.com/we-redexpert/en/#/redexpert-embedded,2026-09-13,
7443642010100,Wurth Elektronik,HCF,2010,1.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,29.167,17.583,49.0,,,,,,,
7443642010120,Wurth Elektronik,HCF,2010,1.2,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,24.306,15.153,42.5,,,,,,,
7443642010200,Wurth Elektronik,HCF,2010,2.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,14.583,10.292,25.5,,,,,,,
74436410150,Wurth Elektronik,HCF,2815,1.5,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,19.444,12.722,110.0,,,,,,,
74436410220,Wurth Elektronik,HCF,2815,2.2,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,13.258,9.629,85.0,,,,,,,
74436410330,Wurth Elektronik,HCF,2815,3.3,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,8.838,7.419,57.0,,,,,,,
74436410470,Wurth Elektronik,HCF,2815,4.7,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,6.206,6.103,44.0,,,,,,,
74436410680,Wurth Elektronik,HCF,2815,6.8,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,4.289,5.145,30.0,,,,,,,
74436411000,Wurth Elektronik,HCF,2815,10.0,5V_3A_input,5.0,3.0,15.0,12.0,boost,100.0,58.3,3.0,2.917,4.458,20.0,,,,,,,
