Part_Number,Manufacturer,Technology,VDS_Max(V),RDSon_4.5V_Typ(mOhm),RDSon_4.5V_Max(mOhm),RDSon_10V_Typ(mOhm),RDSon_10V_Max(mOhm),Qg_4.5V_Typ(nC),Qg_4.5V_Max(nC),Qg_10V_Typ(nC),Qg_10V_Max(nC),Qgd_Typ(nC),Qgs_Typ(nC),VGS_th_Min(V),VGS_th_Typ(V),VGS_th_Max(V),RG_Internal_Typ(Ohm),RthJC_Max(C/W),RthJA_Max(C/W),Price_Ref_50_USD,Price_Ref_Qty,Price_Ref_Source,Price_Ref_URL,Price_Ref_Date,Price_Build_USD,Price_Build_Qty,LCSC_PN,Price_Build_Date,VGS_Max(V),RDSon_Alt_VGS(V),RDSon_Alt_Typ(mOhm),RDSon_Alt_Max(mOhm),Qg_Alt_VGS(V),Qg_Alt_Typ(nC),Qg_Alt_Max(nC),Vplateau_Typ(V),Coss_Typ(pF),Qoss_Typ(nC),Cap_Test_VDS(V),VSD_Typ(V),VSD_Test_IF(A),Qrr_Typ(nC),Qrr_Test_IF(A),Qrr_Test_diFdt(A/us),Datasheet_File,Datasheet_Rev,Data_Notes
CSD17577Q5A,TI,NexFET,30,4.8,5.8,3.5,4.2,13,17,27,35,2.8,5.1,1.1,1.4,1.8,1.4,2.8,50,,,,,,,,,,20,,,,,,,,208,6,15,0.8,18,8.2,18,300,csd17577q5a.pdf,SLPS516 (Aug 2014),RDSon 4.5V at ID=10 A; 10V at ID=18 A. RthJA on 1 in2 2 oz Cu. Vplateau not tabulated (see mosfet_figure_reads.csv).
BSZ0902NS,Infineon,OptiMOS,30,2.8,3.5,2.2,2.6,13,17,26,35,4.0,4.4,1.2,,2.0,0.9,2.6,60,,,,,,,,,,20,,,,,,,2.6,600,16,15,0.83,20,15,44,400,infineon-bsz0902ns-datasheet-en.pdf,Rev 2.4 (2020-11-13),RDSon at ID=20 A. Qrr at IF=IS (44 A). Technology per Infineon product page (no generation number).
BSZ0901NS,Infineon,OptiMOS,30,2.2,2.6,1.7,2.0,23,31,45,60,7.0,7.2,1.2,,2.0,1.0,1.8,60,,,,,,,,,,20,,,,,,,2.5,970,25,15,0.8,20,20,69,400,infineon-bsz0901ns-datasheet-en.pdf,Rev 2.4 (2020-12-16),RDSon at ID=20 A. Qrr at IF=IS (69 A). Technology per Infineon product page (no generation number).
BSZ0501NSI,Infineon,OptiMOS 5,30,2.1,2.5,1.7,2.0,11.4,15,24,33,2.9,3.9,1.2,,2.0,1.4,2.5,60,0.927,100,DigiKey,https://www.digikey.com/en/products/detail/infineon-technologies/BSZ0501NSIATMA1/5845207,2026-09-14,1.1133,1,,2026-09-14,20,,,,,,,2.5,540,18,15,0.55,7,5,7,400,infineon-bsz0501nsi-datasheet-en.pdf,Rev 2.2 (2020-11-16),RDSon at ID=20 A. Monolithic integrated Schottky-like diode. Prices are for BSZ0501NSIATMA1.
BSZ011NE2LS5I,Infineon,OptiMOS 5,25,1.1,1.5,0.82,1.1,17,23,37,50,3.5,5.6,1.2,,2.0,0.7,1.8,60,,,,,,,,,,16,,,,,,,2.3,1200,29,12,0.5,11,20,20,400,infineon-bsz011ne2ls5i-datasheet-en.pdf,Rev 2.1 (2020-10-23),Replaces row BSZ011NE2LS5 (no such part at Infineon; only the I version exists). RDSon at ID=20 A. RthJC = bottom. Integrated Schottky-like diode. VGS max +/-16 V.
BSZ013NE2LS5I,Infineon,OptiMOS 5,25,1.3,1.7,1.1,1.3,17,23,37,50,3.6,5.8,1.2,,2.0,0.7,1.8,60,,,,,,,,,,16,,,,,,,2.3,1200,29,12,0.5,11,20,11,400,infineon-bsz013ne2ls5i-datasheet-en.pdf,Rev 2.2 (2020-11-12),Replaces row BSZ013NE2LS5 (no such part at Infineon; only the I version exists). RDSon at ID=20 A. Integrated Schottky-like diode. VGS max +/-16 V.
BSZ010NE2LS5,Infineon,OptiMOS 5,25,1.0,1.3,0.8,1.0,21,29,44.5,60,4.1,6.7,1.2,,2.0,0.7,1.8,60,,,,,,,,,,16,,,,,,,2.3,1300,30,12,0.76,20,20,20,400,infineon-bsz010ne2ls5-datasheet-en.pdf,Rev 2.2 (2020-05-12),RDSon at ID=20 A. RthJC = bottom. VGS max +/-16 V.
BSZ031NE2LS5,Infineon,OptiMOS 5,25,3.2,3.9,2.6,3.1,6.3,8.5,13.6,18.3,1.4,2.3,1.2,,2.0,0.75,4.1,60,,,,,,,,,,16,,,,,,,2.5,390,9.1,12,0.82,20,12,30,400,infineon-bsz031ne2ls5-datasheet-en.pdf,Rev 2.2 (2020-12-23),RDSon at ID=20 A. VGS max +/-16 V.
ISC230N10NM6,Infineon,OptiMOS 6,100,,,19.3,23,,,7.4,9.3,1.5,2.5,2.3,2.8,3.3,1.0,3.1,50,,,,,,,,,,20,8,23.5,30,,,,4.8,120,14,50,0.84,10,23,5,100,infineon-isc230n10nm6-datasheet-en.pdf,Rev 2.2 (2023-02-10),Normal-level: RDSon not specified below VGS=8 V (4.5 V columns blank). RDSon 10V at ID=10 A; 8V at ID=5 A. Qg/Qgs/Qgd at VGS 0-10 V. Qrr also 86.5 nC at 1000 A/us.
AON6512,Alpha & Omega,AlphaMOS LV,30,1.9,2.4,1.4,1.7,25,30,53,64,10.3,7.8,1.0,1.5,2.0,0.7,1.05,55,,,,,,,,,,20,,,,,,,,1327,,15,0.7,1,58,20,500,AON6512.pdf,Rev 2.1 (Sep 2023),RDSon at ID=20 A. RthJA steady-state max on 1 in2 2 oz Cu. Qoss and Vplateau not tabulated (see mosfet_figure_reads.csv).
AON6152,Alpha & Omega,AlphaSGT,45,1.3,1.85,0.9,1.15,48,70,110,155,7.5,24,1.3,1.8,2.3,1.2,0.6,50,,,,,,,,,,20,,,,,,,,1120,,22.5,0.66,1,74,20,400,AON6152.pdf,Rev 2.0 (Jun 2017),45 V part (old row said 40 V). RDSon at ID=20 A. Gate charge at VDS=22.5 V. RthJA steady-state max on 1 in2 2 oz Cu. Qoss and Vplateau not tabulated.
