Inductor,MOSFET,Vin,Pout,Efficiency
WE-HCF 7443630220 (2.2uH),Low RDS(on) FET (3mOhm),4.5,13.5,95.5600018689154
WE-HCF 7443630220 (2.2uH),Low RDS(on) FET (3mOhm),9.0,27.0,98.083226116726
WE-HCF 7443630220 (2.2uH),Low RDS(on) FET (3mOhm),15.0,33.599999999999994,98.14867041460941
WE-HCF 7443630220 (2.2uH),Low RDS(on) FET (3mOhm),22.0,33.599999999999994,94.92055272855703
WE-HCF 7443630220 (2.2uH),General Purpose (10mOhm),4.5,13.5,94.94664194484757
WE-HCF 7443630220 (2.2uH),General Purpose (10mOhm),9.0,27.0,97.89367135955128
WE-HCF 7443630220 (2.2uH),General Purpose (10mOhm),15.0,33.599999999999994,98.14589920554427
WE-HCF 7443630220 (2.2uH),General Purpose (10mOhm),22.0,33.599999999999994,94.49803860320299
WE-HCF 7443630470 (4.7uH),Low RDS(on) FET (3mOhm),4.5,13.5,97.17070028018249
WE-HCF 7443630470 (4.7uH),Low RDS(on) FET (3mOhm),9.0,27.0,98.7026095289915
WE-HCF 7443630470 (4.7uH),Low RDS(on) FET (3mOhm),15.0,33.599999999999994,98.79649037007955
WE-HCF 7443630470 (4.7uH),Low RDS(on) FET (3mOhm),22.0,33.599999999999994,97.32134639429486
WE-HCF 7443630470 (4.7uH),General Purpose (10mOhm),4.5,13.5,97.00334977911785
WE-HCF 7443630470 (4.7uH),General Purpose (10mOhm),9.0,27.0,98.61864402504428
WE-HCF 7443630470 (4.7uH),General Purpose (10mOhm),15.0,33.599999999999994,98.85583048395772
WE-HCF 7443630470 (4.7uH),General Purpose (10mOhm),22.0,33.599999999999994,97.63702721136922
WE-HCF 7443631000 (10uH),Low RDS(on) FET (3mOhm),4.5,13.5,97.80296713571977
WE-HCF 7443631000 (10uH),Low RDS(on) FET (3mOhm),9.0,27.0,98.94637570248062
WE-HCF 7443631000 (10uH),Low RDS(on) FET (3mOhm),15.0,33.599999999999994,99.05940734171722
WE-HCF 7443631000 (10uH),Low RDS(on) FET (3mOhm),22.0,33.599999999999994,98.29035132244039
WE-HCF 7443631000 (10uH),General Purpose (10mOhm),4.5,13.5,97.59454233020313
WE-HCF 7443631000 (10uH),General Purpose (10mOhm),9.0,27.0,98.82719909820182
WE-HCF 7443631000 (10uH),General Purpose (10mOhm),15.0,33.599999999999994,99.06968844941785
WE-HCF 7443631000 (10uH),General Purpose (10mOhm),22.0,33.599999999999994,98.57504936317258
