Manufacturer,Series,Part_Number,Inductance_uH,DCR_typ_mOhm,DCR_max_mOhm,Isat_10pct_A,Isat_20pct_A,Isat_30pct_A,Itemp_40K,Length_max_mm,Width_max_mm,Height_max_mm,Size_Code,Volume,Rp_Ohm,Rs_spice_Ohm,ls1,lsb11,rlsb11,lsc11,rlsc11,rls11,cpb11,rcpb11,cp11,rcp11,rp1,rs1,cp1,rcp1,cpb1,rcpb1,lwira1,lwa1,rwa1,lwb1,rwb1,lwc1,rwc1,ka1,lsd11,rlsd11
TDK,SPM12565VT,SPM12565VT-1R5M-D,1.5,2.8,3.08,,32.8,44.2,22.3,13.4,12.9,6.5,1307,1123.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDK,SPM12565VT,SPM12565VT-2R2M-D,2.2,3.4,3.74,,32.8,44.5,20.2,13.4,12.9,6.5,1307,1123.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDK,SPM12565VT,SPM12565VT-3R3M-D,3.3,4.9,5.39,,25.5,34.6,16.8,13.4,12.9,6.5,1307,1123.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDK,SPM12565VT,SPM12565VT-4R7M-D,4.7,7.1,7.81,,22.2,30.1,14.0,13.4,12.9,6.5,1307,1123.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDK,SPM12565VT,SPM12565VT-6R8M-D,6.8,10.3,11.33,,20.9,28.5,11.6,13.4,12.9,6.5,1307,1123.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDK,SPM12565VT,SPM12565VT-100M-D,10.0,17.0,18.7,,16.7,22.7,9.0,13.4,12.9,6.5,1307,1123.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDK,SPM12565VT,SPM12565VT-150M-D,15.0,20.9,22.99,,10.6,14.2,8.5,13.4,12.9,6.5,1307,1123.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDK,SPM12565VT,SPM12565VT-220M-D,22.0,31.0,34.1,,10.4,14.1,6.9,13.4,12.9,6.5,1307,1123.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDK,SPM12565VT,SPM12565VT-1R0M-D,1.0,2.2,2.42,,41.4,55.7,25.0,12.5,13.0,6.5,1307,1056.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,7443642010100,1.0,,0.92,49.0,,56.0,,19.8,19.1,10.0,2010,3781.8,265.601,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,
Wurth Elektronik,HCF,7443642010120,1.2,,0.92,42.5,,47.0,,19.8,19.1,10.0,2010,3781.8,271.844,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,
