ProID,Info,,time,Value,
GenTime,2009-09-01 06:29:29,,0.0,4.14,
Record Length,100000 Points,,7.0E-7,4.18,
Sample Interval,7.0E-7 s,,1.4E-6,4.18,
Trigger Time,0.0 s,,2.1E-6,4.18,
Source,CH2,,2.8E-6,4.22,
Vertical Units,(V)/grid,,3.4999998E-6,4.22,
Vertical Scale,1.0,,4.2E-6,4.18,
Vertical Offset,0,,4.9E-6,4.02,
Horizontal Units,s/grid,,5.6E-6,4.22,
Horizontal Scale,0.005,,6.2999998E-6,4.22,
Probe Atten,10.0,,6.9999996E-6,4.22,
,,,7.6999995E-6,4.18,
,,,8.4E-6,4.22,
,,,9.1E-6,4.22,
,,,9.8E-6,4.18,
,,,1.05E-5,4.22,
,,,1.12E-5,4.18,
,,,1.19E-5,4.22,
,,,1.25999995E-5,4.22,
,,,1.3299999E-5,4.18,
,,,1.3999999E-5,4.22,
,,,1.47E-5,4.22,
,,,1.5399999E-5,4.2599998,
,,,1.6099999E-5,4.18,
,,,1.68E-5,4.18,
,,,1.75E-5,4.22,
,,,1.82E-5,4.18,
,,,1.89E-5,4.22,
,,,1.96E-5,4.22,
,,,2.03E-5,4.18,
,,,2.1E-5,4.22,
,,,2.17E-5,4.22,
,,,2.24E-5,4.22,
,,,2.31E-5,4.22,
,,,2.38E-5,4.18,
,,,2.45E-5,4.18,
,,,2.5199999E-5,4.22,
,,,2.5899999E-5,4.2599998,
,,,2.6599999E-5,4.22,
,,,2.7299999E-5,4.22,
,,,2.7999999E-5,4.22,
,,,2.87E-5,4.18,
,,,2.94E-5,4.2599998,
,,,3.01E-5,4.22,
,,,3.0799998E-5,4.22,
,,,3.15E-5,4.18,
,,,3.2199998E-5,4.22,
,,,3.29E-5,4.2599998,
,,,3.36E-5,4.22,
,,,3.43E-5,4.22,
,,,3.5E-5,4.14,
,,,3.57E-5,4.18,
,,,3.64E-5,4.22,
,,,3.71E-5,4.18,
,,,3.78E-5,4.18,
,,,3.85E-5,4.18,
,,,3.92E-5,4.22,
,,,3.99E-5,4.18,
,,,4.06E-5,4.18,
,,,4.1299998E-5,4.18,
,,,4.2E-5,4.18,
,,,4.2699998E-5,4.22,
,,,4.34E-5,4.22,
,,,4.4099997E-5,4.22,
,,,4.48E-5,4.22,
,,,4.55E-5,4.18,
,,,4.62E-5,4.18,
,,,4.69E-5,4.18,
