ProID,Info,,time,Value,
GenTime,2009-09-01 06:29:22,,0.0,-0.64000005,
Record Length,100000 Points,,7.0E-7,-0.528,
Sample Interval,7.0E-7 s,,1.4E-6,-0.41200003,
Trigger Time,0.0 s,,2.1E-6,-0.32000002,
Source,CH1,,2.8E-6,-0.24800001,
Vertical Units,(V)/grid,,3.4999998E-6,-0.19600001,
Vertical Scale,0.2,,4.2E-6,-0.156,
Vertical Offset,61,,4.9E-6,-0.116000004,
Horizontal Units,s/grid,,5.6E-6,-0.096,
Horizontal Scale,0.005,,6.2999998E-6,-0.080000006,
Probe Atten,10.0,,6.9999996E-6,-0.072000004,
,,,7.6999995E-6,-0.056,
,,,8.4E-6,-0.048,
,,,9.1E-6,-0.048,
,,,9.8E-6,-0.040000003,
,,,1.05E-5,-0.040000003,
,,,1.12E-5,-0.032,
,,,1.19E-5,-0.032,
,,,1.25999995E-5,-0.108,
,,,1.3299999E-5,-0.22000001,
,,,1.3999999E-5,-0.33600003,
,,,1.47E-5,-0.42800003,
,,,1.5399999E-5,-0.492,
,,,1.6099999E-5,-0.55200005,
,,,1.68E-5,-0.592,
,,,1.75E-5,-0.624,
,,,1.82E-5,-0.648,
,,,1.89E-5,-0.66400003,
,,,1.96E-5,-0.684,
,,,2.03E-5,-0.66400003,
,,,2.1E-5,-0.56,
,,,2.17E-5,-0.43600002,
,,,2.24E-5,-0.33600003,
,,,2.31E-5,-0.264,
,,,2.38E-5,-0.20400001,
,,,2.45E-5,-0.164,
,,,2.5199999E-5,-0.132,
,,,2.5899999E-5,-0.096,
,,,2.6599999E-5,-0.080000006,
,,,2.7299999E-5,-0.072000004,
,,,2.7999999E-5,-0.056,
,,,2.87E-5,-0.056,
,,,2.94E-5,-0.008,
,,,3.01E-5,-0.040000003,
,,,3.0799998E-5,-0.040000003,
,,,3.15E-5,-0.040000003,
,,,3.2199998E-5,-0.116000004,
,,,3.29E-5,-0.23600002,
,,,3.36E-5,-0.344,
,,,3.43E-5,-0.43600002,
,,,3.5E-5,-0.508,
,,,3.57E-5,-0.56,
,,,3.64E-5,-0.592,
,,,3.71E-5,-0.624,
,,,3.78E-5,-0.656,
,,,3.85E-5,-0.67600006,
,,,3.92E-5,-0.69200003,
,,,3.99E-5,-0.67600006,
,,,4.06E-5,-0.56,
,,,4.1299998E-5,-0.43600002,
,,,4.2E-5,-0.33600003,
