ProID,Info,,time,Value,
GenTime,2009-09-01 06:18:40,,0.0,-0.024,
Record Length,3500 Points,,8.0E-6,-0.016,
Sample Interval,8.0E-6 s,,1.6E-5,0.0,
Trigger Time,1.022 s,,2.4E-5,-0.016,
Source,CH1,,3.2E-5,-0.016,
Vertical Units,(V)/grid,,4.0E-5,-0.024,
Vertical Scale,0.2,,4.8E-5,-0.016,
Vertical Offset,185,,5.6E-5,-0.016,
Horizontal Units,s/grid,,6.4E-5,-0.024,
Horizontal Scale,0.002,,7.2E-5,-0.016,
Probe Atten,10.0,,8.0E-5,-0.024,
,,,8.8E-5,-0.032,
,,,9.6E-5,-0.024,
,,,1.04E-4,-0.024,
,,,1.12E-4,-0.024,
,,,1.2E-4,-0.024,
,,,1.28E-4,-0.024,
,,,1.36E-4,-0.024,
,,,1.44E-4,-0.024,
,,,1.52E-4,-0.024,
,,,1.6E-4,-0.016,
,,,1.68E-4,-0.024,
,,,1.76E-4,-0.024,
,,,1.84E-4,-0.024,
,,,1.92E-4,-0.024,
,,,2.0E-4,-0.024,
,,,2.08E-4,-0.024,
,,,2.16E-4,-0.024,
,,,2.24E-4,-0.024,
,,,2.32E-4,-0.024,
,,,2.4E-4,-0.024,
,,,2.48E-4,-0.024,
,,,2.56E-4,-0.016,
,,,2.64E-4,-0.024,
,,,2.72E-4,-0.016,
,,,2.8E-4,-0.024,
,,,2.88E-4,-0.024,
,,,2.96E-4,-0.016,
,,,3.04E-4,-0.016,
,,,3.12E-4,-0.024,
,,,3.2E-4,-0.032,
,,,3.28E-4,-0.016,
,,,3.36E-4,0.0,
,,,3.44E-4,-0.016,
,,,3.52E-4,-0.016,
,,,3.6E-4,-0.024,
,,,3.68E-4,-0.024,
,,,3.76E-4,-0.024,
,,,3.84E-4,-0.024,
,,,3.92E-4,-0.024,
,,,4.0E-4,-0.008,
,,,4.08E-4,-0.024,
,,,4.16E-4,0.0,
,,,4.24E-4,-0.008,
,,,4.32E-4,0.024,
,,,4.4E-4,-0.016,
,,,4.48E-4,-0.024,
,,,4.56E-4,-0.016,
,,,4.64E-4,-0.024,
,,,4.7199999E-4,-0.024,
,,,4.8E-4,-0.024,
,,,4.88E-4,-0.024,
,,,4.96E-4,-0.016,
,,,5.04E-4,-0.016,
,,,5.12E-4,-0.024,
,,,5.2E-4,-0.024,
,,,5.28E-4,-0.016,
,,,5.36E-4,-0.024,
,,,5.44E-4,-0.024,
,,,5.52E-4,-0.024,
,,,5.6E-4,-0.016,
,,,5.68E-4,-0.024,
,,,5.76E-4,-0.016,
,,,5.84E-4,-0.008,
,,,5.92E-4,-0.016,
,,,5.9999997E-4,-0.016,
,,,6.08E-4,-0.024,
,,,6.16E-4,-0.016,
,,,6.24E-4,-0.016,
,,,6.32E-4,-0.024,
,,,6.4E-4,-0.024,
,,,6.48E-4,-0.016,
,,,6.56E-4,-0.032,
,,,6.64E-4,-0.024,
,,,6.72E-4,-0.024,
,,,6.8E-4,-0.024,
,,,6.88E-4,-0.024,
,,,6.96E-4,-0.024,
,,,7.04E-4,-0.024,
,,,7.12E-4,-0.024,
,,,7.2E-4,-0.024,
,,,7.28E-4,-0.016,
,,,7.36E-4,-0.024,
,,,7.44E-4,-0.024,
,,,7.52E-4,-0.024,
,,,7.6E-4,-0.024,
,,,7.68E-4,-0.024,
,,,7.76E-4,-0.016,
,,,7.84E-4,-0.024,
,,,7.92E-4,-0.024,
,,,8.0E-4,-0.024,
,,,8.08E-4,-0.024,
,,,8.16E-4,-0.024,
,,,8.24E-4,-0.016,
,,,8.32E-4,-0.024,
,,,8.4E-4,-0.016,
,,,8.48E-4,-0.024,
,,,8.56E-4,-0.016,
,,,8.64E-4,-0.024,
,,,8.72E-4,-0.016,
,,,8.8E-4,-0.024,
,,,8.88E-4,-0.024,
,,,8.96E-4,-0.016,
,,,9.04E-4,-0.024,
,,,9.12E-4,-0.024,
,,,9.2E-4,-0.024,
,,,9.28E-4,-0.016,
,,,9.36E-4,-0.016,
,,,9.4399997E-4,-0.024,
,,,9.52E-4,-0.032,
,,,9.6E-4,-0.016,
,,,9.68E-4,-0.032,
,,,9.76E-4,-0.016,
,,,9.84E-4,-0.024,
,,,9.92E-4,-0.024,
,,,0.001,-0.024,
,,,0.001008,-0.024,
,,,0.001016,-0.024,
,,,0.001024,-0.016,
,,,0.001032,-0.008,
,,,0.00104,-0.032,
,,,0.001048,-0.008,
,,,0.001056,-0.016,
,,,0.001064,-0.024,
,,,0.001072,-0.016,
,,,0.00108,-0.040000003,
,,,0.001088,-0.024,
,,,0.001096,-0.048,
,,,0.001104,-0.032,
,,,0.001112,-0.032,
,,,0.00112,-0.008,
,,,0.001128,-0.068,
,,,0.001136,-0.032,
,,,0.001144,-0.008,
,,,0.001152,-0.024,
,,,0.00116,-0.016,
,,,0.001168,-0.024,
,,,0.001176,-0.024,
,,,0.001184,-0.016,
,,,0.001192,-0.024,
,,,0.0011999999,-0.024,
,,,0.001208,-0.024,
,,,0.001216,-0.024,
,,,0.001224,-0.032,
,,,0.001232,-0.016,
,,,0.00124,-0.024,
,,,0.001248,-0.024,
,,,0.001256,-0.024,
,,,0.001264,-0.024,
,,,0.001272,-0.024,
,,,0.00128,-0.016,
,,,0.001288,-0.024,
,,,0.001296,-0.008,
,,,0.001304,-0.016,
,,,0.001312,-0.024,
,,,0.00132,-0.024,
,,,0.001328,-0.032,
,,,0.001336,-0.024,
,,,0.001344,-0.016,
,,,0.001352,-0.024,
,,,0.00136,-0.024,
,,,0.0013679999,-0.016,
,,,0.001376,-0.016,
,,,0.001384,-0.016,
,,,0.001392,-0.016,
,,,0.0014,-0.024,
,,,0.001408,-0.024,
,,,0.001416,-0.024,
,,,0.001424,-0.024,
,,,0.001432,-0.016,
,,,0.00144,-0.016,
,,,0.001448,-0.024,
,,,0.001456,-0.024,
,,,0.001464,-0.024,
,,,0.001472,-0.016,
,,,0.00148,-0.024,
,,,0.001488,-0.024,
,,,0.001496,-0.032,
,,,0.001504,-0.024,
,,,0.001512,-0.024,
,,,0.00152,-0.032,
,,,0.001528,-0.024,
,,,0.001536,-0.032,
,,,0.001544,-0.024,
,,,0.001552,-0.016,
,,,0.00156,-0.016,
,,,0.001568,-0.016,
,,,0.001576,-0.016,
,,,0.001584,-0.016,
,,,0.001592,-0.016,
,,,0.0016,-0.016,
,,,0.001608,-0.032,
,,,0.001616,-0.008,
,,,0.001624,-0.016,
,,,0.001632,-0.032,
,,,0.00164,-0.024,
,,,0.001648,-0.040000003,
,,,0.001656,-0.024,
,,,0.001664,-0.016,
,,,0.001672,-0.024,
,,,0.00168,-0.008,
,,,0.001688,-0.016,
,,,0.001696,-0.016,
,,,0.001704,-0.016,
,,,0.001712,-0.008,
,,,0.00172,-0.024,
,,,0.001728,-0.032,
,,,0.001736,-0.016,
,,,0.001744,-0.040000003,
,,,0.001752,-0.016,
,,,0.00176,-0.040000003,
,,,0.001768,-0.032,
,,,0.001776,-0.016,
,,,0.001784,-0.024,
,,,0.001792,-0.024,
,,,0.0018,0.016,
,,,0.001808,-0.008,
,,,0.001816,-0.032,
,,,0.001824,-0.040000003,
,,,0.001832,-0.024,
,,,0.00184,-0.024,
,,,0.001848,-0.024,
,,,0.001856,-0.024,
,,,0.001864,-0.016,
,,,0.001872,-0.016,
,,,0.00188,-0.024,
,,,0.0018879999,-0.016,
,,,0.001896,-0.024,
,,,0.001904,-0.024,
,,,0.001912,-0.016,
,,,0.00192,-0.024,
,,,0.001928,-0.024,
,,,0.001936,-0.008,
,,,0.001944,-0.016,
,,,0.001952,-0.024,
,,,0.00196,-0.016,
,,,0.001968,-0.032,
,,,0.001976,-0.024,
,,,0.001984,-0.016,
,,,0.001992,-0.024,
,,,0.002,-0.016,
,,,0.002008,-0.024,
,,,0.002016,-0.024,
,,,0.002024,-0.024,
,,,0.002032,-0.016,
,,,0.00204,-0.048,
,,,0.002048,-0.024,
,,,0.002056,-0.016,
,,,0.002064,-0.032,
,,,0.002072,-0.024,
,,,0.00208,-0.032,
,,,0.002088,-0.032,
,,,0.002096,-0.016,
,,,0.002104,-0.032,
,,,0.002112,-0.024,
,,,0.00212,-0.024,
,,,0.002128,-0.024,
,,,0.002136,-0.024,
,,,0.002144,-0.016,
,,,0.002152,-0.016,
,,,0.00216,-0.024,
,,,0.002168,-0.016,
,,,0.002176,-0.024,
,,,0.002184,-0.008,
,,,0.002192,-0.016,
,,,0.0022,-0.024,
,,,0.002208,-0.016,
,,,0.002216,-0.032,
,,,0.002224,-0.024,
,,,0.002232,-0.024,
,,,0.00224,-0.024,
,,,0.002248,-0.016,
,,,0.002256,-0.008,
,,,0.002264,-0.016,
,,,0.002272,-0.024,
,,,0.00228,-0.008,
,,,0.002288,-0.032,
,,,0.002296,-0.024,
,,,0.002304,-0.024,
,,,0.002312,-0.040000003,
,,,0.00232,-0.024,
,,,0.002328,-0.040000003,
,,,0.002336,-0.024,
,,,0.002344,-0.024,
,,,0.002352,-0.024,
,,,0.00236,-0.008,
,,,0.002368,-0.024,
,,,0.002376,-0.016,
,,,0.002384,-0.024,
,,,0.002392,-0.016,
,,,0.0023999999,-0.024,
,,,0.002408,-0.024,
,,,0.002416,-0.024,
,,,0.002424,-0.024,
,,,0.002432,-0.008,
,,,0.00244,0.008,
,,,0.002448,-0.016,
,,,0.002456,-0.008,
,,,0.002464,-0.016,
,,,0.002472,-0.040000003,
,,,0.00248,-0.016,
,,,0.002488,-0.032,
,,,0.002496,-0.024,
,,,0.002504,-0.016,
,,,0.002512,-0.024,
,,,0.00252,-0.024,
,,,0.002528,-0.024,
,,,0.002536,-0.032,
,,,0.002544,-0.024,
,,,0.002552,-0.024,
,,,0.00256,-0.024,
,,,0.002568,-0.024,
,,,0.002576,-0.016,
,,,0.002584,-0.024,
,,,0.002592,-0.024,
,,,0.0026,-0.016,
,,,0.002608,-0.024,
,,,0.002616,-0.024,
,,,0.002624,-0.016,
,,,0.002632,-0.016,
,,,0.00264,-0.016,
,,,0.002648,-0.024,
,,,0.002656,-0.024,
,,,0.002664,-0.024,
,,,0.002672,-0.024,
,,,0.00268,-0.024,
,,,0.002688,-0.024,
,,,0.002696,-0.016,
,,,0.002704,-0.024,
,,,0.002712,-0.024,
,,,0.00272,-0.024,
,,,0.002728,-0.024,
,,,0.0027359999,-0.024,
,,,0.002744,-0.024,
,,,0.002752,-0.016,
,,,0.00276,-0.024,
,,,0.002768,-0.024,
,,,0.002776,-0.016,
,,,0.002784,-0.024,
