ProID,Info,,time,Value,
GenTime,2009-09-01 06:18:50,,0.0,4.14,
Record Length,3500 Points,,8.0E-6,4.14,
Sample Interval,8.0E-6 s,,1.6E-5,4.18,
Trigger Time,1.022 s,,2.4E-5,4.18,
Source,CH2,,3.2E-5,4.14,
Vertical Units,(V)/grid,,4.0E-5,4.14,
Vertical Scale,1.0,,4.8E-5,4.18,
Vertical Offset,0,,5.6E-5,4.14,
Horizontal Units,s/grid,,6.4E-5,4.14,
Horizontal Scale,0.002,,7.2E-5,4.14,
Probe Atten,10.0,,8.0E-5,4.14,
,,,8.8E-5,4.06,
,,,9.6E-5,4.14,
,,,1.04E-4,4.14,
,,,1.12E-4,4.14,
,,,1.2E-4,4.14,
,,,1.28E-4,4.18,
,,,1.36E-4,4.14,
,,,1.44E-4,4.14,
,,,1.52E-4,4.14,
,,,1.6E-4,4.14,
,,,1.68E-4,4.14,
,,,1.76E-4,4.14,
,,,1.84E-4,4.18,
,,,1.92E-4,4.14,
,,,2.0E-4,4.14,
,,,2.08E-4,4.14,
,,,2.16E-4,4.14,
,,,2.24E-4,4.14,
,,,2.32E-4,4.14,
,,,2.4E-4,4.14,
,,,2.48E-4,4.14,
,,,2.56E-4,4.18,
,,,2.64E-4,4.18,
,,,2.72E-4,4.14,
,,,2.8E-4,4.14,
,,,2.88E-4,4.18,
,,,2.96E-4,4.14,
,,,3.04E-4,4.14,
,,,3.12E-4,4.14,
,,,3.2E-4,4.14,
,,,3.28E-4,4.14,
,,,3.36E-4,4.14,
,,,3.44E-4,4.14,
,,,3.52E-4,4.14,
,,,3.6E-4,4.14,
,,,3.68E-4,4.14,
,,,3.76E-4,4.18,
,,,3.84E-4,4.1,
,,,3.92E-4,4.14,
,,,4.0E-4,4.1,
,,,4.08E-4,4.14,
,,,4.16E-4,4.14,
,,,4.24E-4,4.14,
,,,4.32E-4,4.18,
,,,4.4E-4,4.18,
,,,4.48E-4,4.18,
,,,4.56E-4,4.1,
,,,4.64E-4,4.1,
,,,4.7199999E-4,4.22,
,,,4.8E-4,4.14,
,,,4.88E-4,4.14,
,,,4.96E-4,4.14,
,,,5.04E-4,4.14,
,,,5.12E-4,4.14,
,,,5.2E-4,4.14,
,,,5.28E-4,4.18,
,,,5.36E-4,4.14,
,,,5.44E-4,4.14,
,,,5.52E-4,4.14,
,,,5.6E-4,4.14,
,,,5.68E-4,4.18,
,,,5.76E-4,4.14,
,,,5.84E-4,4.18,
,,,5.92E-4,4.14,
,,,5.9999997E-4,4.14,
,,,6.08E-4,4.14,
,,,6.16E-4,4.14,
,,,6.24E-4,4.14,
,,,6.32E-4,4.14,
,,,6.4E-4,4.14,
,,,6.48E-4,4.14,
,,,6.56E-4,4.06,
,,,6.64E-4,4.14,
,,,6.72E-4,4.14,
,,,6.8E-4,4.14,
,,,6.88E-4,4.14,
,,,6.96E-4,4.14,
,,,7.04E-4,4.14,
,,,7.12E-4,4.14,
,,,7.2E-4,4.14,
,,,7.28E-4,4.14,
,,,7.36E-4,4.14,
,,,7.44E-4,4.14,
,,,7.52E-4,4.14,
,,,7.6E-4,4.14,
,,,7.68E-4,4.14,
,,,7.76E-4,4.14,
,,,7.84E-4,4.14,
,,,7.92E-4,4.14,
,,,8.0E-4,4.14,
,,,8.08E-4,4.14,
,,,8.16E-4,4.14,
,,,8.24E-4,4.14,
,,,8.32E-4,4.18,
,,,8.4E-4,4.14,
,,,8.48E-4,4.14,
,,,8.56E-4,4.14,
,,,8.64E-4,4.14,
,,,8.72E-4,4.18,
,,,8.8E-4,4.14,
,,,8.88E-4,4.14,
,,,8.96E-4,4.14,
,,,9.04E-4,4.18,
,,,9.12E-4,4.14,
,,,9.2E-4,4.14,
,,,9.28E-4,4.18,
,,,9.36E-4,4.18,
,,,9.4399997E-4,4.14,
,,,9.52E-4,4.14,
,,,9.6E-4,4.14,
,,,9.68E-4,4.14,
,,,9.76E-4,4.14,
,,,9.84E-4,4.14,
,,,9.92E-4,4.14,
,,,0.001,4.14,
,,,0.001008,4.14,
,,,0.001016,4.14,
,,,0.001024,4.18,
,,,0.001032,4.18,
,,,0.00104,4.14,
,,,0.001048,4.18,
,,,0.001056,4.14,
,,,0.001064,4.18,
,,,0.001072,4.14,
,,,0.00108,4.18,
,,,0.001088,4.18,
,,,0.001096,4.18,
,,,0.001104,4.22,
,,,0.001112,4.06,
,,,0.00112,4.18,
,,,0.001128,3.98,
,,,0.001136,4.18,
,,,0.001144,4.2999997,
,,,0.001152,4.1,
,,,0.00116,4.14,
,,,0.001168,4.14,
,,,0.001176,4.14,
,,,0.001184,4.14,
,,,0.001192,4.14,
,,,0.0011999999,4.14,
,,,0.001208,4.14,
,,,0.001216,4.14,
,,,0.001224,4.18,
,,,0.001232,4.14,
,,,0.00124,4.14,
,,,0.001248,4.14,
,,,0.001256,4.18,
,,,0.001264,4.14,
,,,0.001272,4.14,
,,,0.00128,4.14,
,,,0.001288,4.14,
,,,0.001296,4.14,
,,,0.001304,4.14,
,,,0.001312,4.14,
,,,0.00132,4.14,
,,,0.001328,4.14,
,,,0.001336,4.14,
,,,0.001344,4.14,
,,,0.001352,4.14,
,,,0.00136,4.14,
,,,0.0013679999,4.14,
,,,0.001376,4.18,
,,,0.001384,4.14,
,,,0.001392,4.14,
,,,0.0014,4.14,
,,,0.001408,4.14,
,,,0.001416,4.14,
,,,0.001424,4.14,
,,,0.001432,4.14,
,,,0.00144,4.18,
,,,0.001448,4.14,
,,,0.001456,4.14,
,,,0.001464,4.14,
,,,0.001472,4.06,
,,,0.00148,4.14,
,,,0.001488,4.14,
,,,0.001496,4.14,
,,,0.001504,4.14,
,,,0.001512,4.1,
,,,0.00152,4.14,
,,,0.001528,4.14,
,,,0.001536,4.14,
,,,0.001544,4.14,
,,,0.001552,4.14,
,,,0.00156,4.14,
,,,0.001568,4.14,
,,,0.001576,4.14,
,,,0.001584,4.18,
,,,0.001592,4.14,
,,,0.0016,4.14,
,,,0.001608,4.14,
,,,0.001616,4.14,
,,,0.001624,4.14,
,,,0.001632,4.14,
,,,0.00164,4.14,
,,,0.001648,4.14,
,,,0.001656,4.14,
,,,0.001664,4.14,
,,,0.001672,4.14,
,,,0.00168,4.14,
,,,0.001688,4.14,
,,,0.001696,4.14,
,,,0.001704,4.14,
,,,0.001712,4.18,
,,,0.00172,4.18,
,,,0.001728,4.14,
,,,0.001736,4.18,
,,,0.001744,4.14,
,,,0.001752,4.18,
,,,0.00176,4.06,
,,,0.001768,4.14,
,,,0.001776,4.02,
,,,0.001784,4.14,
,,,0.001792,4.1,
,,,0.0018,4.18,
,,,0.001808,4.18,
,,,0.001816,4.22,
,,,0.001824,3.98,
,,,0.001832,4.14,
,,,0.00184,4.14,
,,,0.001848,4.14,
,,,0.001856,4.14,
,,,0.001864,4.14,
,,,0.001872,4.14,
,,,0.00188,4.14,
,,,0.0018879999,4.14,
,,,0.001896,4.14,
,,,0.001904,4.14,
,,,0.001912,4.18,
,,,0.00192,4.14,
,,,0.001928,4.14,
,,,0.001936,4.18,
,,,0.001944,4.14,
,,,0.001952,4.14,
,,,0.00196,4.14,
,,,0.001968,4.14,
,,,0.001976,4.14,
,,,0.001984,4.14,
,,,0.001992,4.14,
,,,0.002,4.14,
,,,0.002008,4.14,
,,,0.002016,4.14,
,,,0.002024,4.14,
,,,0.002032,4.14,
,,,0.00204,4.02,
,,,0.002048,4.14,
,,,0.002056,4.14,
,,,0.002064,4.14,
,,,0.002072,4.14,
,,,0.00208,4.14,
,,,0.002088,4.14,
,,,0.002096,4.14,
,,,0.002104,4.14,
,,,0.002112,4.14,
,,,0.00212,4.14,
,,,0.002128,4.14,
,,,0.002136,4.14,
,,,0.002144,4.14,
,,,0.002152,4.14,
,,,0.00216,4.14,
,,,0.002168,4.14,
,,,0.002176,4.14,
,,,0.002184,4.18,
,,,0.002192,4.14,
,,,0.0022,4.14,
,,,0.002208,4.14,
,,,0.002216,4.14,
,,,0.002224,4.14,
,,,0.002232,4.14,
,,,0.00224,4.14,
,,,0.002248,4.14,
,,,0.002256,4.18,
,,,0.002264,4.14,
,,,0.002272,4.14,
,,,0.00228,4.14,
,,,0.002288,4.1,
,,,0.002296,4.18,
,,,0.002304,4.14,
,,,0.002312,4.14,
,,,0.00232,4.14,
,,,0.002328,4.14,
,,,0.002336,4.14,
,,,0.002344,4.14,
,,,0.002352,4.14,
,,,0.00236,4.18,
,,,0.002368,4.14,
,,,0.002376,4.14,
,,,0.002384,4.14,
,,,0.002392,4.14,
,,,0.0023999999,4.18,
,,,0.002408,4.1,
,,,0.002416,4.18,
,,,0.002424,4.1,
,,,0.002432,4.14,
,,,0.00244,4.18,
,,,0.002448,4.1,
,,,0.002456,4.22,
,,,0.002464,4.18,
,,,0.002472,4.22,
,,,0.00248,4.18,
,,,0.002488,4.1,
,,,0.002496,4.22,
,,,0.002504,4.14,
,,,0.002512,4.18,
,,,0.00252,4.14,
,,,0.002528,4.1,
,,,0.002536,4.14,
,,,0.002544,4.14,
,,,0.002552,4.14,
,,,0.00256,4.14,
,,,0.002568,4.14,
,,,0.002576,4.14,
,,,0.002584,4.14,
,,,0.002592,4.14,
,,,0.0026,4.14,
,,,0.002608,4.02,
,,,0.002616,4.14,
,,,0.002624,4.18,
,,,0.002632,4.14,
,,,0.00264,4.14,
,,,0.002648,4.18,
,,,0.002656,4.14,
,,,0.002664,4.14,
,,,0.002672,4.14,
,,,0.00268,4.14,
,,,0.002688,4.14,
,,,0.002696,4.18,
,,,0.002704,4.14,
,,,0.002712,4.14,
,,,0.00272,4.14,
,,,0.002728,4.14,
,,,0.0027359999,4.14,
,,,0.002744,4.14,
,,,0.002752,4.18,
,,,0.00276,4.14,
,,,0.002768,4.14,
,,,0.002776,4.14,
,,,0.002784,4.14,
,,,0.002792,4.14,
,,,0.0028,4.18,
,,,0.002808,4.14,
,,,0.002816,4.14,
,,,0.002824,4.14,
,,,0.002832,4.14,
,,,0.00284,4.14,
,,,0.002848,4.14,
,,,0.002856,4.1,
,,,0.002864,4.14,
,,,0.002872,4.14,
,,,0.00288,4.14,
,,,0.002888,4.14,
,,,0.002896,4.06,
,,,0.002904,4.14,
,,,0.002912,4.14,
,,,0.0029199999,4.14,
,,,0.002928,4.14,
,,,0.002936,4.14,
,,,0.002944,4.14,
,,,0.002952,4.14,
,,,0.00296,4.14,
,,,0.002968,4.14,
,,,0.002976,4.18,
,,,0.002984,4.14,
,,,0.002992,4.14,
,,,0.003,4.14,
,,,0.003008,4.14,
,,,0.003016,4.14,
,,,0.003024,4.14,
,,,0.003032,4.14,
,,,0.00304,4.14,
,,,0.003048,4.14,
,,,0.003056,4.14,
,,,0.003064,4.18,
,,,0.003072,4.14,
,,,0.00308,4.14,
,,,0.003088,4.18,
,,,0.003096,4.14,
,,,0.003104,4.18,
,,,0.003112,4.14,
,,,0.00312,4.18,
,,,0.003128,4.14,
,,,0.003136,4.18,
