ProID,Info,,time,Value,
GenTime,2009-08-31 20:14:41,,0.0,-0.024,
Record Length,100000 Points,,2.8E-5,-0.024,
Sample Interval,2.7999999999999996E-5 s,,5.6E-5,-0.024,
Trigger Time,2.18 s,,8.4E-5,-0.024,
Source,CH1,,1.12E-4,-0.024,
Vertical Units,(V)/grid,,1.4E-4,-0.024,
Vertical Scale,0.2,,1.68E-4,-0.024,
Vertical Offset,61,,1.9600001E-4,-0.024,
Horizontal Units,s/grid,,2.24E-4,-0.024,
Horizontal Scale,0.2,,2.52E-4,-0.024,
Probe Atten,10.0,,2.8E-4,0.008,
,,,3.0800002E-4,-0.024,
,,,3.36E-4,-0.024,
,,,3.64E-4,-0.024,
,,,3.9200002E-4,-0.040000003,
,,,4.2E-4,-0.024,
,,,4.48E-4,-0.024,
,,,4.7600002E-4,-0.024,
,,,5.04E-4,-0.024,
,,,5.3200003E-4,-0.024,
,,,5.6E-4,-0.024,
,,,5.88E-4,-0.024,
,,,6.1600003E-4,-0.024,
,,,6.44E-4,-0.016,
,,,6.72E-4,-0.016,
,,,7.0000003E-4,-0.016,
,,,7.28E-4,-0.024,
,,,7.56E-4,-0.032,
,,,7.8400003E-4,-0.024,
,,,8.12E-4,-0.024,
,,,8.4E-4,-0.024,
,,,8.6800003E-4,-0.024,
,,,8.96E-4,-0.024,
,,,9.24E-4,-0.024,
,,,9.5200003E-4,-0.024,
,,,9.8E-4,-0.024,
,,,0.001008,-0.024,
,,,0.001036,-0.024,
,,,0.0010640001,-0.024,
,,,0.001092,-0.024,
,,,0.00112,-0.016,
,,,0.001148,-0.024,
,,,0.001176,-0.016,
,,,0.001204,-0.024,
,,,0.0012320001,-0.024,
,,,0.00126,-0.024,
,,,0.001288,-0.024,
,,,0.001316,-0.024,
,,,0.001344,-0.032,
,,,0.001372,-0.024,
,,,0.0014000001,-0.024,
,,,0.001428,-0.024,
,,,0.001456,-0.024,
,,,0.001484,-0.024,
,,,0.001512,-0.024,
,,,0.00154,-0.024,
,,,0.0015680001,-0.024,
,,,0.001596,-0.016,
,,,0.001624,-0.024,
,,,0.001652,-0.032,
,,,0.00168,-0.024,
,,,0.001708,-0.032,
,,,0.0017360001,-0.024,
,,,0.001764,-0.024,
,,,0.001792,-0.024,
,,,0.00182,-0.024,
,,,0.001848,-0.024,
,,,0.0018760001,-0.024,
,,,0.0019040001,-0.024,
,,,0.001932,-0.024,
,,,0.00196,-0.024,
,,,0.001988,-0.024,
,,,0.002016,-0.024,
,,,0.002044,-0.024,
,,,0.002072,-0.056,
,,,0.0021,-0.024,
,,,0.0021280001,-0.024,
,,,0.0021560001,-0.024,
,,,0.002184,-0.024,
,,,0.002212,-0.024,
,,,0.00224,-0.024,
,,,0.002268,-0.024,
,,,0.002296,-0.024,
,,,0.002324,-0.024,
,,,0.002352,-0.024,
,,,0.00238,-0.040000003,
,,,0.002408,-0.024,
,,,0.002436,-0.024,
,,,0.0024640001,-0.024,
,,,0.002492,-0.008,
,,,0.00252,-0.024,
,,,0.002548,-0.016,
,,,0.002576,-0.024,
,,,0.002604,-0.024,
,,,0.002632,-0.024,
,,,0.00266,-0.024,
,,,0.002688,-0.024,
,,,0.002716,-0.024,
,,,0.002744,-0.032,
,,,0.0027720002,-0.024,
,,,0.0028000001,-0.024,
,,,0.002828,-0.024,
,,,0.002856,-0.024,
,,,0.002884,-0.024,
,,,0.002912,-0.032,
,,,0.00294,-0.024,
,,,0.002968,-0.032,
,,,0.002996,-0.024,
,,,0.003024,-0.024,
,,,0.003052,-0.024,
,,,0.00308,-0.024,
,,,0.0031080001,-0.024,
,,,0.0031360001,-0.024,
,,,0.003164,-0.024,
,,,0.003192,-0.024,
,,,0.00322,-0.024,
,,,0.003248,-0.024,
,,,0.003276,-0.024,
,,,0.003304,-0.024,
,,,0.003332,-0.024,
,,,0.00336,-0.024,
,,,0.003388,-0.032,
,,,0.003416,-0.024,
,,,0.0034440001,-0.024,
,,,0.0034720001,-0.024,
,,,0.0035,-0.024,
,,,0.003528,-0.024,
,,,0.003556,-0.024,
,,,0.003584,-0.024,
,,,0.003612,-0.024,
,,,0.00364,-0.024,
,,,0.003668,-0.024,
,,,0.003696,-0.024,
,,,0.003724,-0.024,
,,,0.0037520002,-0.016,
,,,0.0037800001,-0.016,
,,,0.0038080001,-0.024,
,,,0.003836,-0.016,
,,,0.003864,0.0,
,,,0.003892,-0.024,
,,,0.00392,-0.024,
,,,0.0039480003,-0.024,
,,,0.003976,-0.024,
,,,0.004004,-0.024,
,,,0.004032,-0.024,
,,,0.00406,-0.024,
,,,0.004088,-0.024,
,,,0.004116,-0.024,
,,,0.004144,-0.024,
,,,0.004172,-0.024,
,,,0.0042,-0.024,
,,,0.004228,-0.024,
,,,0.0042560003,-0.024,
,,,0.004284,0.008,
,,,0.0043120002,-0.024,
,,,0.00434,-0.024,
,,,0.004368,-0.024,
,,,0.004396,-0.024,
,,,0.004424,-0.024,
,,,0.004452,-0.032,
,,,0.00448,-0.024,
,,,0.004508,-0.024,
,,,0.004536,-0.024,
,,,0.0045640003,-0.024,
,,,0.004592,-0.024,
,,,0.0046200003,-0.024,
,,,0.004648,-0.024,
,,,0.004676,-0.024,
,,,0.004704,-0.032,
,,,0.004732,-0.016,
,,,0.00476,-0.016,
,,,0.004788,-0.024,
,,,0.004816,-0.024,
,,,0.004844,-0.024,
,,,0.004872,-0.024,
,,,0.0049,-0.024,
,,,0.0049280003,-0.024,
,,,0.004956,-0.024,
,,,0.004984,-0.024,
,,,0.005012,-0.024,
,,,0.00504,-0.024,
,,,0.005068,-0.024,
,,,0.005096,-0.024,
,,,0.005124,-0.016,
,,,0.005152,-0.024,
,,,0.00518,-0.016,
,,,0.005208,-0.024,
,,,0.0052360003,-0.024,
,,,0.005264,-0.024,
,,,0.0052920002,-0.024,
