ProID,Info,,time,Value,
GenTime,2009-08-31 20:12:19,,0.0,4.02,
Record Length,100000 Points,,2.8E-5,4.02,
Sample Interval,2.7999999999999996E-5 s,,5.6E-5,4.06,
Trigger Time,2.18 s,,8.4E-5,4.02,
Source,CH2,,1.12E-4,4.02,
Vertical Units,(V)/grid,,1.4E-4,4.02,
Vertical Scale,1.0,,1.68E-4,4.02,
Vertical Offset,0,,1.9600001E-4,4.02,
Horizontal Units,s/grid,,2.24E-4,4.02,
Horizontal Scale,0.2,,2.52E-4,4.02,
Probe Atten,10.0,,2.8E-4,3.98,
,,,3.0800002E-4,3.98,
,,,3.36E-4,4.02,
,,,3.64E-4,4.02,
,,,3.9200002E-4,3.8999999,
,,,4.2E-4,4.02,
,,,4.48E-4,4.02,
,,,4.7600002E-4,4.02,
,,,5.04E-4,4.02,
,,,5.3200003E-4,4.06,
,,,5.6E-4,4.06,
,,,5.88E-4,3.98,
,,,6.1600003E-4,4.02,
,,,6.44E-4,4.06,
,,,6.72E-4,4.06,
,,,7.0000003E-4,4.18,
,,,7.28E-4,4.02,
,,,7.56E-4,3.98,
,,,7.8400003E-4,4.02,
,,,8.12E-4,4.02,
,,,8.4E-4,4.02,
,,,8.6800003E-4,4.06,
,,,8.96E-4,4.06,
,,,9.24E-4,4.02,
,,,9.5200003E-4,4.06,
,,,9.8E-4,4.02,
,,,0.001008,4.02,
,,,0.001036,4.02,
,,,0.0010640001,4.02,
,,,0.001092,4.06,
,,,0.00112,4.06,
,,,0.001148,4.02,
,,,0.001176,4.06,
,,,0.001204,4.02,
,,,0.0012320001,4.02,
,,,0.00126,4.02,
,,,0.001288,4.06,
,,,0.001316,4.02,
,,,0.001344,3.86,
,,,0.001372,4.02,
,,,0.0014000001,4.02,
,,,0.001428,4.06,
,,,0.001456,4.02,
,,,0.001484,4.02,
,,,0.001512,4.02,
,,,0.00154,4.02,
,,,0.0015680001,4.06,
,,,0.001596,4.14,
,,,0.001624,4.02,
,,,0.001652,3.9399998,
,,,0.00168,4.02,
,,,0.001708,3.98,
,,,0.0017360001,4.02,
,,,0.001764,4.02,
,,,0.001792,4.06,
,,,0.00182,4.02,
,,,0.001848,4.02,
,,,0.0018760001,4.02,
,,,0.0019040001,4.06,
,,,0.001932,4.02,
,,,0.00196,4.02,
,,,0.001988,4.02,
,,,0.002016,4.02,
,,,0.002044,4.02,
,,,0.002072,4.06,
,,,0.0021,4.02,
,,,0.0021280001,4.02,
,,,0.0021560001,4.02,
,,,0.002184,4.06,
,,,0.002212,4.02,
,,,0.00224,4.06,
,,,0.002268,4.02,
,,,0.002296,4.02,
,,,0.002324,4.06,
,,,0.002352,4.02,
,,,0.00238,4.02,
,,,0.002408,4.06,
,,,0.002436,4.02,
