ProID,Info,,time,Value,
GenTime,2009-08-31 20:04:51,,0.0,0.0,
Record Length,100000 Points,,2.8E-4,-0.099999994,
Sample Interval,2.8E-4 s,,5.6E-4,0.0,
Trigger Time,10.0 s,,8.4E-4,0.0,
Source,CH2,,0.00112,0.0,
Vertical Units,(V)/grid,,0.0014000001,0.0,
Vertical Scale,1.0,,0.00168,0.0,
Vertical Offset,0,,0.00196,0.04,
Horizontal Units,s/grid,,0.00224,0.0,
Horizontal Scale,2.0,,0.00252,0.0,
Probe Atten,10.0,,0.0028000001,0.0,
,,,0.0030800002,0.0,
,,,0.00336,0.0,
,,,0.00364,0.0,
,,,0.00392,0.0,
,,,0.0042000003,0.0,
,,,0.00448,0.0,
,,,0.00476,-0.099999994,
,,,0.00504,0.0,
,,,0.00532,0.0,
,,,0.0056000003,0.0,
,,,0.00588,0.0,
,,,0.0061600003,0.0,
,,,0.00644,0.04,
,,,0.00672,0.0,
,,,0.007,0.0,
,,,0.00728,0.0,
,,,0.0075600003,0.0,
,,,0.00784,0.08,
,,,0.00812,0.0,
,,,0.008400001,0.0,
,,,0.00868,0.0,
,,,0.00896,0.0,
,,,0.0092400005,0.08,
,,,0.00952,-0.06,
,,,0.0098,0.12,
,,,0.01008,0.0,
,,,0.010360001,0.0,
,,,0.01064,0.0,
,,,0.01092,0.0,
,,,0.0112000005,0.0,
,,,0.01148,0.0,
,,,0.01176,0.0,
,,,0.01204,0.0,
,,,0.012320001,0.0,
,,,0.0126,0.0,
,,,0.01288,0.0,
,,,0.013160001,0.0,
,,,0.01344,0.04,
,,,0.01372,0.0,
,,,0.014,0.0,
,,,0.014280001,0.0,
,,,0.01456,0.04,
,,,0.01484,0.0,
,,,0.015120001,0.0,
,,,0.015400001,0.0,
,,,0.01568,0.0,
,,,0.01596,0.0,
,,,0.01624,0.0,
,,,0.016520001,0.0,
,,,0.016800001,0.0,
,,,0.01708,0.0,
,,,0.01736,0.04,
,,,0.01764,0.0,
,,,0.01792,0.0,
,,,0.0182,0.0,
,,,0.018480001,0.0,
,,,0.018760001,0.0,
,,,0.01904,0.0,
,,,0.01932,0.0,
,,,0.0196,0.0,
,,,0.01988,0.0,
,,,0.02016,0.0,
,,,0.020440001,0.0,
,,,0.020720001,0.0,
,,,0.021,0.0,
,,,0.02128,0.0,
,,,0.02156,0.0,
,,,0.02184,0.04,
,,,0.02212,0.0,
,,,0.022400001,0.0,
,,,0.022680001,-0.17999999,
,,,0.02296,0.0,
,,,0.02324,0.0,
,,,0.02352,-0.06,
,,,0.0238,0.0,
,,,0.02408,0.0,
,,,0.024360001,0.0,
,,,0.024640001,0.0,
,,,0.02492,0.0,
,,,0.0252,0.12,
,,,0.02548,0.04,
,,,0.02576,0.04,
,,,0.02604,0.04,
,,,0.026320001,0.0,
,,,0.026600001,0.04,
,,,0.02688,0.0,
,,,0.02716,-0.14,
,,,0.02744,0.04,
,,,0.02772,0.0,
,,,0.028,0.0,
,,,0.028280001,0.0,
,,,0.028560001,0.0,
,,,0.028840002,0.0,
,,,0.02912,0.0,
,,,0.0294,0.0,
,,,0.02968,0.0,
,,,0.02996,0.0,
,,,0.030240001,0.04,
,,,0.030520001,0.0,
,,,0.030800002,0.0,
,,,0.03108,0.0,
,,,0.03136,0.0,
,,,0.03164,0.04,
,,,0.03192,0.0,
,,,0.0322,0.0,
,,,0.03248,0.04,
,,,0.03276,0.0,
,,,0.033040002,0.0,
,,,0.033320002,0.0,
,,,0.033600003,0.0,
,,,0.03388,0.0,
,,,0.03416,0.0,
,,,0.03444,0.0,
,,,0.03472,0.0,
,,,0.035,0.0,
,,,0.03528,0.0,
,,,0.03556,0.0,
,,,0.03584,0.04,
,,,0.03612,-0.06,
,,,0.0364,0.0,
,,,0.03668,0.0,
,,,0.036960002,-0.06,
,,,0.037240002,0.0,
,,,0.037520003,0.0,
,,,0.037800003,0.0,
,,,0.03808,0.0,
,,,0.03836,0.0,
,,,0.03864,0.0,
,,,0.03892,0.0,
,,,0.0392,0.0,
,,,0.03948,0.0,
,,,0.03976,0.0,
,,,0.04004,0.0,
,,,0.04032,0.0,
,,,0.0406,-0.22,
,,,0.040880002,0.0,
,,,0.041160002,0.04,
,,,0.041440003,-0.06,
,,,0.041720003,0.0,
,,,0.042,0.0,
,,,0.04228,0.0,
,,,0.04256,0.0,
,,,0.04284,0.04,
,,,0.04312,0.0,
,,,0.0434,-0.06,
,,,0.04368,-0.06,
,,,0.04396,0.0,
,,,0.04424,0.04,
,,,0.04452,0.0,
,,,0.044800002,0.0,
,,,0.045080002,0.24,
,,,0.045360003,0.04,
,,,0.045640003,0.0,
,,,0.04592,0.04,
,,,0.0462,0.0,
,,,0.04648,0.0,
,,,0.04676,0.0,
,,,0.04704,0.0,
,,,0.04732,0.0,
,,,0.0476,0.0,
,,,0.04788,0.0,
,,,0.04816,0.0,
,,,0.048440002,0.0,
,,,0.048720002,0.0,
,,,0.049000002,0.0,
,,,0.049280003,0.0,
,,,0.049560003,0.04,
,,,0.04984,0.0,
,,,0.05012,0.0,
,,,0.0504,0.19999999,
,,,0.05068,0.0,
,,,0.05096,0.0,
,,,0.05124,0.04,
,,,0.05152,0.0,
,,,0.0518,0.0,
,,,0.05208,0.0,
,,,0.052360002,0.0,
,,,0.052640002,0.04,
,,,0.052920002,0.0,
,,,0.053200003,0.0,
,,,0.053480003,0.0,
,,,0.05376,0.0,
,,,0.05404,0.0,
,,,0.05432,0.0,
,,,0.0546,0.0,
,,,0.05488,0.0,
,,,0.05516,0.04,
,,,0.05544,0.04,
,,,0.05572,0.0,
,,,0.056,0.0,
,,,0.056280002,0.0,
,,,0.056560002,0.04,
,,,0.056840003,0.0,
,,,0.057120003,0.0,
,,,0.057400003,0.0,
,,,0.057680003,0.0,
,,,0.05796,0.0,
,,,0.05824,0.0,
,,,0.05852,0.0,
,,,0.0588,-0.099999994,
,,,0.05908,0.0,
,,,0.05936,0.0,
,,,0.05964,0.0,
,,,0.05992,0.0,
,,,0.060200002,0.0,
,,,0.060480002,-0.099999994,
,,,0.060760003,0.16,
,,,0.061040003,0.04,
,,,0.061320003,0.0,
,,,0.061600003,0.0,
,,,0.06188,0.0,
,,,0.06216,0.0,
,,,0.06244,0.0,
,,,0.06272,0.0,
,,,0.063,0.0,
,,,0.06328,0.0,
,,,0.06356,0.0,
,,,0.06384,0.0,
,,,0.06412,0.0,
,,,0.0644,0.0,
,,,0.06468,0.0,
,,,0.06496,0.0,
,,,0.06524,0.0,
,,,0.06552,0.0,
,,,0.0658,0.04,
,,,0.066080004,0.0,
,,,0.066360004,0.0,
,,,0.066640005,0.04,
,,,0.066920005,0.0,
,,,0.067200005,0.0,
,,,0.067480005,0.04,
,,,0.06776,0.0,
,,,0.06804,0.0,
,,,0.06832,0.19999999,
,,,0.0686,0.0,
