run,t_ms,n,flags,pwm_pct,in_V,in_uV,in_A,fan12_V,fan12_uV,fan12_A,b5in_V,b5in_uV,b5in_A,b5out_V,b5out_uV,b5out_A,fan1_V,fan1_uV,fan1_A,fan2_V,fan2_uV,fan2_A,fan3_V,fan3_uV,fan3_A,fan4_V,fan4_uV,fan4_A,fan5_V,fan5_uV,fan5_A,fan6_V,fan6_uV,fan6_A,fan7_V,fan7_uV,fan7_A,fan8_V,fan8_uV,fan8_A,fan9_V,fan9_uV,fan9_A,fan10_V,fan10_uV,fan10_A,pc_time_s
1,69292,1,0,0.00,5.0037,140.0,0.14000,12.0813,10.0,0.01000,12.0825,1180.0,0.03576,5.0812,692.5,0.06925,12.0837,37.5,0.00375,12.0825,40.0,0.00400,12.0850,35.0,0.00350,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,0.75
1,69639,1,0,0.01,5.0025,140.0,0.14000,12.0813,10.0,0.01000,12.0825,1182.5,0.03583,5.0812,692.5,0.06925,12.0837,37.5,0.00375,12.0813,40.0,0.00400,12.0837,35.0,0.00350,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,1.10
1,69975,1,0,0.29,5.0025,140.0,0.14000,12.0813,10.0,0.01000,12.0825,1185.0,0.03591,5.0812,695.0,0.06950,12.0837,37.5,0.00375,12.0813,40.0,0.00400,12.0837,35.0,0.00350,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,1.43
1,70310,1,0,0.57,5.0025,140.0,0.14000,12.0813,10.0,0.01000,12.0813,1182.5,0.03583,5.0812,695.0,0.06950,12.0837,37.5,0.00375,12.0813,40.0,0.00400,12.0837,35.0,0.00350,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,1.77
1,70722,1,0,0.91,5.0025,140.0,0.14000,12.0825,10.0,0.01000,12.0825,1182.5,0.03583,5.0812,695.0,0.06950,12.0850,37.5,0.00375,12.0825,40.0,0.00400,12.0850,35.0,0.00350,12.0850,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0825,-7.5,-0.00075,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,2.19
1,71069,1,0,1.20,5.0025,140.0,0.14000,12.0813,10.0,0.01000,12.0813,1182.5,0.03583,5.0812,695.0,0.06950,12.0837,37.5,0.00375,12.0813,40.0,0.00400,12.0837,35.0,0.00350,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,2.54
1,71405,1,0,1.48,5.0025,140.0,0.14000,12.0813,10.0,0.01000,12.0825,1180.0,0.03576,5.0812,695.0,0.06950,12.0837,37.5,0.00375,12.0813,40.0,0.00400,12.0837,35.0,0.00350,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,2.86
1,71740,1,0,1.76,5.0012,140.0,0.14000,12.0813,10.0,0.01000,12.0825,1185.0,0.03591,5.0812,695.0,0.06950,12.0837,37.5,0.00375,12.0813,40.0,0.00400,12.0837,35.0,0.00350,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,3.20
1,72148,1,0,2.10,5.0012,140.0,0.14000,12.0825,10.0,0.01000,12.0825,1182.5,0.03583,5.0812,695.0,0.06950,12.0850,37.5,0.00375,12.0825,40.0,0.00400,12.0850,35.0,0.00350,12.0850,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0825,-7.5,-0.00075,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,3.60
1,72484,1,0,2.38,5.0012,140.0,0.14000,12.0813,10.0,0.01000,12.0825,1180.0,0.03576,5.0812,695.0,0.06950,12.0837,37.5,0.00375,12.0813,40.0,0.00400,12.0837,35.0,0.00350,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,3.93
1,72819,1,0,2.66,5.0025,140.0,0.14000,12.0813,10.0,0.01000,12.0825,1182.5,0.03583,5.0812,695.0,0.06950,12.0837,37.5,0.00375,12.0813,40.0,0.00400,12.0837,35.0,0.00350,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,4.28
1,73165,1,0,2.95,5.0012,142.5,0.14250,12.0813,10.0,0.01000,12.0825,1185.0,0.03591,5.0812,695.0,0.06950,12.0837,37.5,0.00375,12.0813,40.0,0.00400,12.0837,35.0,0.00350,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,4.62
1,73650,1,0,3.35,5.0025,140.0,0.14000,12.0825,10.0,0.01000,12.0825,1182.5,0.03583,5.0812,695.0,0.06950,12.0850,37.5,0.00375,12.0825,40.0,0.00400,12.0850,35.0,0.00350,12.0850,-5.0,-0.00050,12.0862,-7.5,-0.00075,12.0825,-7.5,-0.00075,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,5.11
1,73985,1,0,3.63,5.0025,140.0,0.14000,12.0813,10.0,0.01000,12.0825,1180.0,0.03576,5.0812,695.0,0.06950,12.0837,37.5,0.00375,12.0825,40.0,0.00400,12.0850,35.0,0.00350,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,5.44
1,74320,1,0,3.91,5.0037,140.0,0.14000,12.0813,10.0,0.01000,12.0825,1185.0,0.03591,5.0812,695.0,0.06950,12.0837,37.5,0.00375,12.0825,40.0,0.00400,12.0850,35.0,0.00350,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,5.78
1,74655,1,0,4.19,5.0037,140.0,0.14000,12.0813,10.0,0.01000,12.0825,1182.5,0.03583,5.0812,695.0,0.06950,12.0837,37.5,0.00375,12.0825,40.0,0.00400,12.0850,35.0,0.00350,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0813,-7.5,-0.00075,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0825,-5.0,-0.00050,12.0837,-7.5,-0.00075,6.12
1,75059,1,0,4.53,5.0037,140.0,0.14000,12.0825,10.0,0.01000,12.0837,1182.5,0.03583,5.0812,695.0,0.06950,12.0850,37.5,0.00375,12.0837,40.0,0.00400,12.0862,35.0,0.00350,12.0850,-5.0,-0.00050,12.0862,-7.5,-0.00075,12.0825,-7.5,-0.00075,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,6.53
1,75405,1,0,4.81,5.0037,140.0,0.14000,12.0825,10.0,0.01000,12.0825,1180.0,0.03576,5.0812,695.0,0.06950,12.0850,37.5,0.00375,12.0825,40.0,0.00400,12.0850,35.0,0.00350,12.0850,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0825,-7.5,-0.00075,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,6.86
