run,t_ms,n,flags,pwm_pct,fan1_rpm,fan2_rpm,fan3_rpm,fan4_rpm,in_V,in_uV,in_A,fan12_V,fan12_uV,fan12_A,b5in_V,b5in_uV,b5in_A,b5out_V,b5out_uV,b5out_A,fan1_V,fan1_uV,fan1_A,fan2_V,fan2_uV,fan2_A,fan3_V,fan3_uV,fan3_A,fan4_V,fan4_uV,fan4_A,fan5_V,fan5_uV,fan5_A,fan6_V,fan6_uV,fan6_A,fan7_V,fan7_uV,fan7_A,fan8_V,fan8_uV,fan8_A,fan9_V,fan9_uV,fan9_A,fan10_V,fan10_uV,fan10_A,pc_time_s
7,258379,1,0,0.00,0.0,0.0,0.0,0.0,5.0275,262.5,0.26250,12.0825,60.0,0.06000,12.0825,1180.0,0.03576,5.0812,692.5,0.06925,12.0850,227.5,0.02275,12.0825,292.5,0.02925,12.0850,52.5,0.00525,12.0850,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0825,-7.5,-0.00075,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,0.60
7,258737,1,0,0.00,0.0,0.0,0.0,0.0,5.0275,262.5,0.26250,12.0825,60.0,0.06000,12.0837,1185.0,0.03591,5.0812,695.0,0.06950,12.0850,227.5,0.02275,12.0825,292.5,0.02925,12.0850,52.5,0.00525,12.0850,-5.0,-0.00050,12.0862,-7.5,-0.00075,12.0825,-7.5,-0.00075,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,0.95
7,259072,1,0,0.28,0.0,0.0,0.0,0.0,5.0275,262.5,0.26250,12.0825,57.5,0.05750,12.0837,1182.5,0.03583,5.0812,695.0,0.06950,12.0850,225.0,0.02250,12.0825,290.0,0.02900,12.0850,52.5,0.00525,12.0850,-5.0,-0.00050,12.0862,-7.5,-0.00075,12.0825,-7.5,-0.00075,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,1.28
7,259408,1,0,0.56,0.0,0.0,0.0,0.0,5.0275,262.5,0.26250,12.0825,60.0,0.06000,12.0837,1182.5,0.03583,5.0812,695.0,0.06950,12.0850,225.0,0.02250,12.0825,290.0,0.02900,12.0850,52.5,0.00525,12.0850,-5.0,-0.00050,12.0862,-7.5,-0.00075,12.0825,-7.5,-0.00075,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,1.61
7,259744,1,0,0.84,0.0,0.0,0.0,0.0,5.0275,262.5,0.26250,12.0825,57.5,0.05750,12.0837,1182.5,0.03583,5.0812,695.0,0.06950,12.0850,225.0,0.02250,12.0825,290.0,0.02900,12.0850,52.5,0.00525,12.0850,-5.0,-0.00050,12.0862,-7.5,-0.00075,12.0825,-7.5,-0.00075,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,1.95
7,260080,1,0,1.12,0.0,0.0,0.0,0.0,5.0275,262.5,0.26250,12.0825,60.0,0.06000,12.0837,1185.0,0.03591,5.0812,695.0,0.06950,12.0850,225.0,0.02250,12.0825,292.5,0.02925,12.0850,52.5,0.00525,12.0850,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0825,-7.5,-0.00075,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,2.29
7,260415,1,0,1.40,0.0,0.0,0.0,0.0,5.0275,262.5,0.26250,12.0825,60.0,0.06000,12.0825,1180.0,0.03576,5.0812,695.0,0.06950,12.0850,225.0,0.02250,12.0825,290.0,0.02900,12.0850,52.5,0.00525,12.0850,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0825,-7.5,-0.00075,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,2.64
7,260771,1,0,1.70,0.0,0.0,0.0,0.0,5.0275,262.5,0.26250,12.0825,60.0,0.06000,12.0825,1182.5,0.03583,5.0812,695.0,0.06950,12.0850,227.5,0.02275,12.0825,290.0,0.02900,12.0850,52.5,0.00525,12.0850,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0825,-7.5,-0.00075,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,2.98
7,261108,1,0,1.98,0.0,0.0,0.0,0.0,5.0275,262.5,0.26250,12.0825,60.0,0.06000,12.0837,1182.5,0.03583,5.0812,695.0,0.06950,12.0850,225.0,0.02250,12.0825,292.5,0.02925,12.0850,52.5,0.00525,12.0850,-5.0,-0.00050,12.0850,-7.5,-0.00075,12.0825,-7.5,-0.00075,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,3.32
7,261444,1,0,2.26,0.0,0.0,0.0,0.0,5.0275,262.5,0.26250,12.0825,60.0,0.06000,12.0837,1187.5,0.03598,5.0812,695.0,0.06950,12.0850,225.0,0.02250,12.0825,290.0,0.02900,12.0850,52.5,0.00525,12.0850,-5.0,-0.00050,12.0862,-7.5,-0.00075,12.0825,-7.5,-0.00075,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0837,-5.0,-0.00050,12.0850,-7.5,-0.00075,3.65
