ProID,Info,,time,Value,
GenTime,2009-08-31 22:12:08,,0.0,-0.108,
Record Length,87500 Points,,8.0E-6,-0.032,
Sample Interval,8.0E-6 s,,1.6E-5,-0.33600003,
Trigger Time,4.628 s,,2.4E-5,-0.040000003,
Source,CH1,,3.2E-5,-0.33600003,
Vertical Units,(V)/grid,,4.0E-5,-0.108,
Vertical Scale,0.2,,4.8E-5,-0.048,
Vertical Offset,61,,5.6E-5,-0.256,
Horizontal Units,s/grid,,6.4E-5,-0.040000003,
Horizontal Scale,0.05,,7.2E-5,-0.36800003,
Probe Atten,10.0,,8.0E-5,-0.072000004,
,,,8.8E-5,-0.124000005,
,,,9.6E-5,-0.19600001,
,,,1.04E-4,-0.040000003,
,,,1.12E-4,-0.39600003,
,,,1.2E-4,-0.056,
,,,1.28E-4,-0.20400001,
,,,1.36E-4,-0.148,
,,,1.44E-4,-0.032,
,,,1.52E-4,-0.41200003,
,,,1.6E-4,-0.056,
,,,1.68E-4,-0.264,
,,,1.76E-4,-0.116000004,
,,,1.84E-4,-0.032,
,,,1.92E-4,-0.388,
,,,2.0E-4,-0.048,
,,,2.08E-4,-0.312,
,,,2.16E-4,-0.096,
,,,2.24E-4,-0.032,
,,,2.32E-4,-0.28,
,,,2.4E-4,-0.040000003,
,,,2.48E-4,-0.35200003,
,,,2.56E-4,-0.080000006,
,,,2.64E-4,-0.072000004,
,,,2.72E-4,-0.21200001,
,,,2.8E-4,-0.040000003,
,,,2.88E-4,-0.37600002,
,,,2.96E-4,-0.064,
,,,3.04E-4,-0.156,
,,,3.12E-4,-0.164,
,,,3.2E-4,-0.032,
,,,3.28E-4,-0.39600003,
,,,3.36E-4,-0.056,
,,,3.44E-4,-0.22000001,
,,,3.52E-4,-0.132,
,,,3.6E-4,-0.032,
,,,3.68E-4,-0.404,
,,,3.76E-4,-0.048,
,,,3.84E-4,-0.28,
,,,3.92E-4,-0.108,
,,,4.0E-4,-0.032,
,,,4.08E-4,-0.328,
,,,4.16E-4,-0.048,
,,,4.24E-4,-0.32000002,
,,,4.32E-4,-0.080000006,
,,,4.4E-4,-0.040000003,
,,,4.48E-4,-0.256,
,,,4.56E-4,-0.040000003,
,,,4.64E-4,-0.35200003,
,,,4.7199999E-4,-0.064,
,,,4.8E-4,-0.108,
,,,4.88E-4,-0.18800001,
,,,4.96E-4,-0.040000003,
,,,5.04E-4,-0.37600002,
,,,5.12E-4,-0.064,
,,,5.2E-4,-0.18,
,,,5.28E-4,-0.14,
,,,5.36E-4,-0.040000003,
,,,5.44E-4,-0.39600003,
,,,5.52E-4,-0.056,
,,,5.6E-4,-0.24800001,
,,,5.68E-4,-0.116000004,
,,,5.76E-4,-0.048,
,,,5.84E-4,-0.36800003,
,,,5.92E-4,-0.072000004,
,,,5.9999997E-4,-0.28800002,
,,,6.08E-4,-0.14,
,,,6.16E-4,-0.048,
,,,6.24E-4,-0.30400002,
,,,6.32E-4,-0.032,
,,,6.4E-4,-0.33600003,
,,,6.48E-4,-0.072000004,
,,,6.56E-4,-0.048,
,,,6.64E-4,-0.22000001,
,,,6.72E-4,-0.040000003,
,,,6.8E-4,-0.36,
,,,6.88E-4,-0.064,
,,,6.96E-4,-0.132,
,,,7.04E-4,-0.164,
,,,7.12E-4,-0.040000003,
,,,7.2E-4,-0.37600002,
,,,7.28E-4,-0.056,
,,,7.36E-4,-0.20400001,
,,,7.44E-4,-0.14,
,,,7.52E-4,-0.032,
,,,7.6E-4,-0.39600003,
,,,7.68E-4,-0.048,
,,,7.76E-4,-0.264,
,,,7.84E-4,-0.096,
,,,7.92E-4,-0.032,
,,,8.0E-4,-0.328,
,,,8.08E-4,-0.048,
,,,8.16E-4,-0.30400002,
,,,8.24E-4,-0.080000006,
,,,8.32E-4,-0.032,
,,,8.4E-4,-0.256,
,,,8.48E-4,-0.040000003,
,,,8.56E-4,-0.33600003,
,,,8.64E-4,-0.064,
,,,8.72E-4,-0.080000006,
,,,8.8E-4,-0.18,
,,,8.88E-4,-0.032,
,,,8.96E-4,-0.36,
,,,9.04E-4,-0.056,
,,,9.12E-4,-0.156,
,,,9.2E-4,-0.14,
,,,9.28E-4,-0.032,
,,,9.36E-4,-0.37600002,
,,,9.4399997E-4,-0.048,
,,,9.52E-4,-0.22000001,
,,,9.6E-4,-0.108,
,,,9.68E-4,-0.032,
,,,9.76E-4,-0.35200003,
,,,9.84E-4,-0.048,
,,,9.92E-4,-0.272,
,,,0.001,-0.08800001,
,,,0.001008,-0.032,
,,,0.001016,-0.28,
,,,0.001024,-0.040000003,
,,,0.001032,-0.312,
,,,0.00104,-0.072000004,
,,,0.001048,-0.040000003,
,,,0.001056,-0.21200001,
,,,0.001064,-0.032,
,,,0.001072,-0.344,
,,,0.00108,-0.064,
,,,0.001088,-0.108,
,,,0.001096,-0.164,
,,,0.001104,-0.032,
,,,0.001112,-0.36,
,,,0.00112,-0.056,
,,,0.001128,-0.18,
,,,0.001136,-0.124000005,
,,,0.001144,-0.032,
,,,0.001152,-0.37600002,
,,,0.00116,-0.048,
,,,0.001168,-0.23600002,
,,,0.001176,-0.096,
,,,0.001184,-0.032,
,,,0.001192,-0.30400002,
,,,0.0011999999,-0.040000003,
,,,0.001208,-0.28800002,
,,,0.001216,-0.072000004,
,,,0.001224,-0.032,
,,,0.001232,-0.22800002,
,,,0.00124,-0.032,
,,,0.001248,-0.312,
,,,0.001256,-0.064,
,,,0.001264,-0.064,
,,,0.001272,-0.18,
,,,0.00128,-0.040000003,
,,,0.001288,-0.344,
,,,0.001296,-0.056,
,,,0.001304,-0.132,
,,,0.001312,-0.14,
,,,0.00132,-0.032,
,,,0.001328,-0.36,
,,,0.001336,-0.048,
,,,0.001344,-0.19600001,
,,,0.001352,-0.108,
,,,0.00136,-0.032,
,,,0.0013679999,-0.344,
,,,0.001376,-0.040000003,
,,,0.001384,-0.256,
,,,0.001392,-0.080000006,
,,,0.0014,-0.032,
,,,0.001408,-0.272,
,,,0.001416,-0.040000003,
,,,0.001424,-0.296,
,,,0.001432,-0.064,
,,,0.00144,-0.032,
,,,0.001448,-0.20400001,
,,,0.001456,-0.040000003,
,,,0.001464,-0.33600003,
,,,0.001472,-0.056,
,,,0.00148,-0.124000005,
,,,0.001488,-0.14,
,,,0.001496,0.0,
,,,0.001504,-0.344,
,,,0.001512,-0.080000006,
,,,0.00152,-0.132,
,,,0.001528,-0.096,
,,,0.001536,-0.032,
,,,0.001544,-0.344,
,,,0.001552,-0.016,
,,,0.00156,-0.22000001,
,,,0.001568,-0.08800001,
,,,0.001576,-0.032,
,,,0.001584,-0.28,
,,,0.001592,-0.040000003,
,,,0.0016,-0.264,
,,,0.001608,-0.072000004,
,,,0.001616,-0.032,
,,,0.001624,-0.22000001,
,,,0.001632,-0.040000003,
,,,0.00164,-0.296,
,,,0.001648,-0.064,
,,,0.001656,-0.048,
,,,0.001664,-0.164,
,,,0.001672,-0.032,
,,,0.00168,-0.32000002,
,,,0.001688,-0.056,
,,,0.001696,-0.116000004,
,,,0.001704,-0.132,
,,,0.001712,-0.032,
,,,0.00172,-0.33600003,
,,,0.001728,-0.024,
,,,0.001736,-0.18,
,,,0.001744,-0.096,
,,,0.001752,-0.032,
,,,0.00176,-0.32000002,
,,,0.001768,-0.040000003,
,,,0.001776,-0.22800002,
,,,0.001784,-0.080000006,
,,,0.001792,-0.032,
,,,0.0018,-0.256,
,,,0.001808,-0.040000003,
,,,0.001816,-0.272,
,,,0.001824,-0.064,
,,,0.001832,-0.024,
,,,0.00184,-0.18,
,,,0.001848,-0.040000003,
,,,0.001856,-0.296,
,,,0.001864,-0.056,
,,,0.001872,-0.064,
,,,0.00188,-0.14,
,,,0.0018879999,-0.032,
,,,0.001896,-0.32000002,
,,,0.001904,-0.048,
,,,0.001912,-0.14,
,,,0.00192,-0.108,
,,,0.001928,-0.032,
,,,0.001936,-0.328,
,,,0.001944,-0.040000003,
,,,0.001952,-0.19600001,
,,,0.00196,-0.08800001,
,,,0.001968,-0.032,
,,,0.001976,-0.272,
,,,0.001984,-0.040000003,
,,,0.001992,-0.23600002,
,,,0.002,-0.072000004,
,,,0.002008,-0.032,
,,,0.002016,-0.20400001,
,,,0.002024,-0.040000003,
